"'poort van het paradijs'","","","Nistelrode","51.691186","5.578042","","Yes","Unknown","","http://lh3.ggpht.com/AIbWOwlxz8DY296sndTsrdKumwmRKTAnEyY7Je9noTCewwOL-1OLtWXgOTu-T3HibRfBSPk3qfcTgu6awcq8"
"Speeltuin De Koekkoek","","Koekoekstraat 9-13","Oss","51.767452","5.542867","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.767452&mlon=5.542867&zoom=16","http://maps.google.com/maps?q=51.767452,5.542867",""
"Speeltuin Dobbe","dobbe","Theodorus Dobbestraat 8","Oss","51.773557","5.543698","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.773557&mlon=5.543698&zoom=16","http://maps.google.com/maps?q=51.773557,5.543698",""
"Speeltuin Gripper","gripper","Gripper 19","Oss","51.766846","5.531007","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.766846&mlon=5.531007&zoom=16","http://maps.google.com/maps?q=51.766846,5.531007",""
"Speeltuin Haagpoort","haagpoort","Haagpoort 42","Oss","51.779438","5.520733","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.779438&mlon=5.520733&zoom=16","http://maps.google.com/maps?q=51.779438,5.520733",""
"Speeltuin Heihoek","heihoek","Smouteneind 10","Oss","51.758215","5.495284","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.758215&mlon=5.495284&zoom=16","http://maps.google.com/maps?q=51.758215,5.495284",""
"Speeltuin Hendriklaan","handriklaan","Hendriklaan 6","Oss","51.754953","5.535502","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.754953&mlon=5.535502&zoom=16","http://maps.google.com/maps?q=51.754953,5.535502",""
"Speeltuin in het park","","Geerd Visserlaan","Oss","51.769422","5.544325","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.769422&mlon=5.544325&zoom=16","http://maps.google.com/maps?q=51.769422,5.544325",""
"Speeltuin Johan V Bijne","","Johan van Bijnenstraat 48-20","Oss","51.772068","5.53906","PLP 20180626","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.772068&mlon=5.53906&zoom=16","http://maps.google.com/maps?q=51.772068,5.53906",""
"Speeltuin Johan van Bijnenstraat","johan van bijnenstraat, van bijnenstraat, bijnenstraat","Johan van Bijnenstraat 28","Oss","51.7722","5.539203","PLP 20180626","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.7722&mlon=5.539203&zoom=16","http://maps.google.com/maps?q=51.7722,5.539203",""
"Speeltuin Kiviet","kiviet","Kievit 35","Oss","51.772275","5.548956","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.772275&mlon=5.548956&zoom=16","http://maps.google.com/maps?q=51.772275,5.548956",""
"Speeltuin Klaverweide","","","Oss","51.77092","5.494453","","Yes","Unknown","","http://lh3.googleusercontent.com/fgDNB7_OIOkOApk34gcnhCV2iik0AkIh76amtj374_NvZQ4E5VoSYSGCa1nOjLVqypAx-qRlKvcVBp-w56UgTQ"
"Speeltuin Koekkoek","koekoek, koekkoek","Koekoekstraat 9-13","Oss","51.767412","5.542828","PLP 20180624","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.767412&mlon=5.542828&zoom=16","http://maps.google.com/maps?q=51.767412,5.542828",""
"Speeltuin Kuipers Rietberg","kuiper rietberg","","Oss","51.774519","5.527487","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.774519&mlon=5.527487&zoom=16","http://maps.google.com/maps?q=51.774519,5.527487",""
"Speeltuin Lichtmot","lichtmot","","Oss","51.771561","5.503317","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.771561&mlon=5.503317&zoom=16","http://maps.google.com/maps?q=51.771561,5.503317",""
"Speeltuin Meijerij","","","Oss","51.765344","5.493553","","Yes","None","http://www.openstreetmap.org/?mlat=51.765344&mlon=5.493553&zoom=16","http://maps.google.com/maps?q=51.765344,5.493553",""
"Speeltuin Perzikhof","perzikhof","Perzikhof 18","Oss","51.770787","5.500836","OCL","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.770787&mlon=5.500836&zoom=16","http://maps.google.com/maps?q=51.770787,5.500836",""
"Speeltuin Plop","","","Oss","51.773354","5.534124","","Yes","Stop","","http://lh3.googleusercontent.com/f_UW5yT6PuJVFsM_0q_Ud4WIc9O8OX58yulOc9JNd45UFf4nV0oRKQRCXr2CZ64TVIvRUoHKDG05Uz3o8Cwi"
"Speeltuin Rozenstraat","","","Oss","51.759218","5.526402","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.759223&mlon=5.526400&zoom=16","http://maps.google.com/maps?q=51.759223,5.526400","http://lh3.googleusercontent.com/a8wW-UP1VJXiIDOhDsXhyuaU6re748RvfrUEA1n5vKJ1cH03MhrJg-4xFzECCVCy_8OjeSg5dyFshbilRts"
"Speeltuin Schering","schering","Gripper 5","Oss","51.767759","5.531099","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.767759&mlon=5.531099&zoom=16","http://maps.google.com/maps?q=51.767759,5.531099",""
"Speeltuin Seringenhof","seringenhof","Seringenhof 24","Oss","51.761124","5.52841","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.761124&mlon=5.52841&zoom=16","http://maps.google.com/maps?q=51.761124,5.52841",""
"Speeltuin Sperwerstraat","sperwerstraat","Sperwerstraat 8","Oss","51.767285","5.548327","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.767285&mlon=5.548327&zoom=16","http://maps.google.com/maps?q=51.767285,5.548327",""
"Speeltuin Theodorus Dobbestraat","","Theodorus Dobbestraat 8","Oss","51.77355","5.543717","","Yes","Removed","http://www.openstreetmap.org/?mlat=51.77355&mlon=5.543717&zoom=16","http://maps.google.com/maps?q=51.77355,5.543717",""
"Speeltuin Tinnegieter","tinnegieter","Leerlooierstraat 37","Oss","51.763227","5.494023","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763227&mlon=5.494023&zoom=16","http://maps.google.com/maps?q=51.763227,5.494023",""
"Speeltuin Ussen","ussen","Kleinussenstraat 34","Oss","51.76537","5.489799","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76537&mlon=5.489799&zoom=16","http://maps.google.com/maps?q=51.76537,5.489799",""
"Speeltuin Zalm","","Zalm 9","Oss","51.773617","5.496217","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.773617&mlon=5.496217&zoom=16","http://maps.google.com/maps?q=51.773617,5.496217",""
"Speeltuin Zonnebloem","zonnebloem","Zonnebloemstraat 41","Oss","51.762992","5.52578","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.762992&mlon=5.52578&zoom=16","http://maps.google.com/maps?q=51.762992,5.52578",""
"Spelen Met Een Bal","spelen","Dommelstraat 2","Oss","51.78022","5.536842","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.78022&mlon=5.536842&zoom=16","http://maps.google.com/maps?q=51.78022,5.536842",""
"Sportpark De Biescamp","","","Geffen","51.738392","5.455346","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.738392&mlon=5.455346&zoom=16","http://maps.google.com/maps?q=51.738392,5.455346",""
"St Catharina Gilde","","","Nistelrode","51.710217","5.569412","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.710217&mlon=5.569412&zoom=16","http://maps.google.com/maps?q=51.710217,5.569412",""
"St LAMBERTUS","","","Nistelrode","51.69982","5.561709","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.69982&mlon=5.561709&zoom=16","http://maps.google.com/maps?q=51.69982,5.561709",""
"St Mary with Angels","st mary","","Oss","51.769081","5.522446","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.769081&mlon=5.522446&zoom=16","http://maps.google.com/maps?q=51.769081,5.522446",""
"Standing Figure","standing","","Oss","51.75454","5.50851","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.75454&mlon=5.50851&zoom=16","http://maps.google.com/maps?q=51.75454,5.50851",""
"Standing Figure II","","","Oss","51.754643","5.509495","","Yes","None","http://www.openstreetmap.org/?mlat=51.754643&mlon=5.509495&zoom=16","http://maps.google.com/maps?q=51.754643,5.509495",""
"Station Oss West","oss west","","Oss","51.758276","5.506861","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.758276&mlon=5.506861&zoom=16","http://maps.google.com/maps?q=51.758276,5.506861",""
"Statue at Garden","","","Nistelrode","51.699168","5.566818","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.699168&mlon=5.566818&zoom=16","http://maps.google.com/maps?q=51.699168,5.566818",""
"Statue Geffen Monastery","","","Geffen","51.742552","5.462953","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.742552&mlon=5.462953&zoom=16","http://maps.google.com/maps?q=51.742552,5.462953",""
"Statue Heelwijk","","","Heesch","51.733943","5.532947","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.733943&mlon=5.532947&zoom=16","http://maps.google.com/maps?q=51.733943,5.532947",""
"Statue in the Wall","","","Nistelrode","51.700142","5.562854","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.700142&mlon=5.562854&zoom=16","http://maps.google.com/maps?q=51.700142,5.562854",""
"Statue Jurgensplein","jurgensplein","","Oss","51.770108","5.532293","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.770108&mlon=5.532293&zoom=16","http://maps.google.com/maps?q=51.770108,5.532293",""
"Statue of Saint Mary","saint mary","","Oss","51.76977","5.529917","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.76977&mlon=5.529917&zoom=16","http://maps.google.com/maps?q=51.76977,5.529917",""
"Statute in Stone of Female, Oss","statute in stone, statue in stone","Ridderhof 41","Oss","51.76519","5.526619","","Yes","Yes","http://www.openstreetmap.org/?mlat=51.76519&mlon=5.526619&zoom=16","http://maps.google.com/maps?q=51.76519,5.526619",""
"Stieropdemuur","","Raadhuislaan 2","Oss","51.765439","5.526279","","Yes","None","http://www.openstreetmap.org/?mlat=51.765439&mlon=5.526279&zoom=16","http://maps.google.com/maps?q=51.765439,5.526279",""
"Stiltegebied Maashorst","","","Nistelrode","51.687217","5.600473","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.687217&mlon=5.600473&zoom=16","http://maps.google.com/maps?q=51.687217,5.600473",""
"Stoeploos","","Condorstraat 1","Oss","51.768673","5.546485","PLP 20180624","No","Pending","http://www.openstreetmap.org/?mlat=51.768673&mlon=5.546485&zoom=16","http://maps.google.com/maps?q=51.768673,5.546485",""
"Stolpersteine","","Hooghuisstraat 11","Oss","51.769633","5.52694","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769633&mlon=5.52694&zoom=16","http://maps.google.com/maps?q=51.769633,5.52694",""
"Struikelsteentjes","","Boterstraat 6","Oss","51.765955","5.525427","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.765955&mlon=5.525427&zoom=16","http://maps.google.com/maps?q=51.765955,5.525427",""
"Struikelsteentjes bij Jezusgym","","Hescheweg 40","Oss","51.758437","5.529111","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.758437&mlon=5.529111&zoom=16","http://maps.google.com/maps?q=51.758437,5.529111",""
"Struikelsten","struikelsten, struikelsteen","Rozenstraat 27","Oss","51.760075","5.524745","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.760083&mlon=5.524726&zoom=16","http://maps.google.com/maps?q=51.760083,5.524726","http://lh3.googleusercontent.com/E95tYYw1wChuJrtSE1x1zzA4REnKtzJs59AK72OE1RDi52aCdB0w_k3w9AnjEkoO0VKWnS7FFr2WkMa6nBECXQ"
"Struikelstenen","","","Oss","51.76647","5.532465","","Yes","Unknown","","http://lh3.googleusercontent.com/FpAtx8e2RY4QXvhC4mSXKOM3GoHjqFdvgmphzCT1hfxXtdQfqSXbPULWIIOsbG9GUjQJ6uXx_wtoAXLaqm2UGg"
"Sâ€™Jozef school","","Sint Willibrordusstraat 49","Berghem","51.7700577","5.5677249","ONL 20180620","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.7700577&mlon=5.5677249&zoom=16","http://maps.google.com/maps?q=51.7700577,5.5677249",""
"T Art","","Parklaan 14","Oss","51.77513","5.501125","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77513&mlon=5.501125&zoom=16","http://maps.google.com/maps?q=51.77513,5.501125",""
"T Putje","putje","Willibrordusweg 150","Oss","51.746842","5.544729","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.746842&mlon=5.544729&zoom=16","http://maps.google.com/maps?q=51.746842,5.544729",""
"t Reut Playground","","Het Reut 115","Berghem","51.772529","5.562827","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772529&mlon=5.562827&zoom=16","http://maps.google.com/maps?q=51.772529,5.562827",""
"Tango","","Krabbenhoek 68","Heesch","51.7341","5.516931","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.7341&mlon=5.516931&zoom=16","http://maps.google.com/maps?q=51.7341,5.516931",""
"Tango","","Krabbenhoek 22","Heesch","51.734375","5.513768","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.734375&mlon=5.513768&zoom=16","http://maps.google.com/maps?q=51.734375,5.513768",""
"Tango","","Graanakker","Heesch","51.734429","5.519681","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.734429&mlon=5.519681&zoom=16","http://maps.google.com/maps?q=51.734429,5.519681",""
"Tango","","Binnenpas","Heesch","51.736221","5.526882","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.736221&mlon=5.526882&zoom=16","http://maps.google.com/maps?q=51.736221,5.526882",""
"Tango 4","","","Heesch","51.735312","5.522339","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.735312&mlon=5.522339&zoom=16","http://maps.google.com/maps?q=51.735312,5.522339",""
"TC Telro","","","Nistelrode","51.702155","5.570475","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.702155&mlon=5.570475&zoom=16","http://maps.google.com/maps?q=51.702155,5.570475",""
"The Gate of  Ravenskeep","","","Nistelrode","51.705703","5.643699","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.705703&mlon=5.643699&zoom=16","http://maps.google.com/maps?q=51.705703,5.643699","http://lh6.ggpht.com/bH75-a4wyPpleYfjcRG81OfIUJU8eQ_jYmHlZSgG4v5CTxbK922N3Sokyh4kLiMnOKT2hILaeIwdo5BJ_Gh6"
"The Peacock","peacock","","Oss","51.767941","5.532506","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.767941&mlon=5.532506&zoom=16","http://maps.google.com/maps?q=51.767941,5.532506",""
"The Playground","","","Oss","51.751861","5.503661","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.751861&mlon=5.503661&zoom=16","http://maps.google.com/maps?q=51.751861,5.503661",""
"Theehuis Geffen","","","Geffen","51.740911","5.461657","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.740911&mlon=5.461657&zoom=16","http://maps.google.com/maps?q=51.740911,5.461657",""
"Titus Brandsma","brandsma","","Oss","51.766977","5.525773","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.766977&mlon=5.525773&zoom=16","http://maps.google.com/maps?q=51.766977,5.525773",""
"Tractor Slabroek","","","Nistelrode","51.69677","5.600091","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.69677&mlon=5.600091&zoom=16","http://maps.google.com/maps?q=51.69677,5.600091",""
"Train Station Oss","station oss","","Oss","51.765212","5.530683","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.765212&mlon=5.530683&zoom=16","http://maps.google.com/maps?q=51.765212,5.530683",""
"Triton Oss","triton","Bergsche Hoevepad 15","Oss","51.749765","5.490887","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.749765&mlon=5.490887&zoom=16","http://maps.google.com/maps?q=51.749765,5.490887",""
"Tussen Jou En Mij","tussen jou","Anna van Schuurmanstraat 290","Oss","51.752278","5.502205","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.752278&mlon=5.502205&zoom=16","http://maps.google.com/maps?q=51.752278,5.502205",""
"Uranus","","","Nistelrode","51.689054","5.556175","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.689054&mlon=5.556175&zoom=16","http://maps.google.com/maps?q=51.689054,5.556175",""
"Van de Glijbaan","","","Heesch","51.726326","5.524038","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.726326&mlon=5.524038&zoom=16","http://maps.google.com/maps?q=51.726326,5.524038",""
"Varken","","","Oss","51.768095","5.524207","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768095&mlon=5.524207&zoom=16","http://maps.google.com/maps?q=51.768095,5.524207",""
"Veerman","","","Nistelrode","51.704558","5.561411","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.704558&mlon=5.561411&zoom=16","http://maps.google.com/maps?q=51.704558,5.561411",""
"Vernieuwing","","","Oss","51.748648","5.53603","ONL 20180620","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.748648&mlon=5.53603&zoom=16","http://maps.google.com/maps?q=51.748648,5.53603",""
"Vijversingel boomstammen","","Vijversingel 18","Oss","51.769358","5.545018","PLP","No","Pending","http://www.openstreetmap.org/?mlat=51.769358&mlon=5.545018&zoom=16","http://maps.google.com/maps?q=51.769358,5.545018",""
"Vijversingel fontein","","Zwaluwstraat 1","Oss","51.768618","5.54457","PLP","No","Pending","http://www.openstreetmap.org/?mlat=51.768618&mlon=5.54457&zoom=16","http://maps.google.com/maps?q=51.768618,5.54457",""
"Vijversingel kruijff veld","","Vijversingel 22","Oss","51.769043","5.544752","PLP","No","Pending","http://www.openstreetmap.org/?mlat=51.769043&mlon=5.544752&zoom=16","http://maps.google.com/maps?q=51.769043,5.544752",""
"Villa Maasdonk","","","Geffen","51.730216","5.433181","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.730216&mlon=5.433181&zoom=16","http://maps.google.com/maps?q=51.730216,5.433181",""
"Violin in Stone","","Raadhuislaan 2","Oss","51.765199","5.525603","","Yes","None","http://www.openstreetmap.org/?mlat=51.765199&mlon=5.525603&zoom=16","http://maps.google.com/maps?q=51.765199,5.525603",""
"Vioolspelende vrouw Berghem","vioolspelend, vioolspelende vrouw","Julianastraat 1","Berghem","51.773888","5.565277","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.773888&mlon=5.565277&zoom=16","http://maps.google.com/maps?q=51.773888,5.565277",""
"Voetbal Veld","voetbalveld","Huizenbeemdweg","Oss","51.76766","5.491891","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.76766&mlon=5.491891&zoom=16","http://maps.google.com/maps?q=51.76766,5.491891",""
"Voetbalmuur met gaten bij Zonnecelboom","","Berghemseweg","Oss","51.770176","5.551427","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.770176&mlon=5.551427&zoom=16","http://maps.google.com/maps?q=51.770176,5.551427",""
"Voetbaloefenveld","","Burgemeester van Erpstraat 93","Berghem","51.776991","5.586777","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.776991&mlon=5.586777&zoom=16","http://maps.google.com/maps?q=51.776991,5.586777",""
"Voetbalveld ussenstraat","","Ussenstraat 77","Oss","51.768845","5.504305","OCL 20180623","No","Pending","http://www.openstreetmap.org/?mlat=51.768845&mlon=5.504305&zoom=16","http://maps.google.com/maps?q=51.768845,5.504305",""
"Vogelhuis","","","Heesch","51.731992","5.541974","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.731992&mlon=5.541974&zoom=16","http://maps.google.com/maps?q=51.731992,5.541974",""
"Vogelhuis II","","","Heesch","51.732086","5.542881","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732086&mlon=5.542881&zoom=16","http://maps.google.com/maps?q=51.732086,5.542881",""
"Vogelhuis III","","","Heesch","51.732174","5.544036","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732174&mlon=5.544036&zoom=16","http://maps.google.com/maps?q=51.732174,5.544036",""
"Vogelwijk, Louis de Bourbon speeltuin","vogelwijk","Burgemeester de Bourbonhof 34","Oss","51.767424","5.536317","OCL","No","Unknown","http://www.openstreetmap.org/?mlat=51.767424&mlon=5.536317&zoom=16","http://maps.google.com/maps?q=51.767424,5.536317",""
"VolksUNIversiteit","","Kruisstraat 94","Oss","51.764765","5.520032","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.764765&mlon=5.520032&zoom=16","http://maps.google.com/maps?q=51.764765,5.520032",""
"Vonkel Geffen Nuland Bank 1993-2014","","","Geffen","51.728141","5.433355","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.728141&mlon=5.433355&zoom=16","http://maps.google.com/maps?q=51.728141,5.433355",""
"Vorstengraf","","","Heesch","51.73276","5.567408","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.73276&mlon=5.567408&zoom=16","http://maps.google.com/maps?q=51.73276,5.567408",""
"Vorstengraf Oss","","","Heesch","51.732917","5.566755","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.732917&mlon=5.566755&zoom=16","http://maps.google.com/maps?q=51.732917,5.566755",""
"Walking figure Oss","walking, walking figure","Anna Bijnsstraat 12","Oss","51.754783","5.510038","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.754783&mlon=5.510038&zoom=16","http://maps.google.com/maps?q=51.754783,5.510038",""
"Wall Art","","","Heesch","51.732542","5.534307","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732542&mlon=5.534307&zoom=16","http://maps.google.com/maps?q=51.732542,5.534307",""
"Wall Art","","Hazenkamplaan 19","Oss","51.765093","5.493715","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.765093&mlon=5.493715&zoom=16","http://maps.google.com/maps?q=51.765093,5.493715",""
"Wall art Zuid","","Karel Doormanstraat 12D","Oss","51.759321","5.536089","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.759321&mlon=5.536089&zoom=16","http://maps.google.com/maps?q=51.759321,5.536089",""
"Wandelroute Putje","putje","Willibrordusweg 85","Oss","51.747077","5.544786","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.747077&mlon=5.544786&zoom=16","http://maps.google.com/maps?q=51.747077,5.544786",""
"War Memorial Oss","war memorial","Nieuwe Hescheweg 80E","Oss","51.758077","5.532414","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.758077&mlon=5.532414&zoom=16","http://maps.google.com/maps?q=51.758077,5.532414",""
"Water Kunstlicht","kunstlicht","Heuvel 16A","Oss","51.769409","5.524846","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769409&mlon=5.524846&zoom=16","http://maps.google.com/maps?q=51.769409,5.524846",""
"Waterpaddestoel","","","Oss","51.762585","5.545496","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.762585&mlon=5.545496&zoom=16","http://maps.google.com/maps?q=51.762585,5.545496",""
"Waterpomp","","","Nistelrode","51.701314","5.56202","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701314&mlon=5.56202&zoom=16","http://maps.google.com/maps?q=51.701314,5.56202",""
"Waterpomp Met Drink Bak","","","Oss","51.770612","5.526161","PLP","Yes","Gym","http://www.openstreetmap.org/?mlat=51.770612&mlon=5.526161&zoom=16","http://maps.google.com/maps?q=51.770612,5.526161",""
"Watertoren","","Watertorenstraat 1A","Oss","51.765574","5.51535","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.765574&mlon=5.51535&zoom=16","http://maps.google.com/maps?q=51.765574,5.51535",""
"We'll meet again","","","Nistelrode","51.70115","5.561313","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.70115&mlon=5.561313&zoom=16","http://maps.google.com/maps?q=51.70115,5.561313",""
"Wedding Chappel","","","Geffen","51.721996","5.402838","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.721996&mlon=5.402838&zoom=16","http://maps.google.com/maps?q=51.721996,5.402838",""
"Weird Garden","","","Nistelrode","51.705173","5.561143","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.705173&mlon=5.561143&zoom=16","http://maps.google.com/maps?q=51.705173,5.561143",""
"Welkom in de Dichtetsbuurt","dichtetsbuurt, dichtersbuurt, welkom in de dichtersbuurt","Brederostraat 53","Oss","51.751366","5.512912","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.751366&mlon=5.512912&zoom=16","http://maps.google.com/maps?q=51.751366,5.512912",""
"Welkom Op De Wereld","de wereld","Kloosterstraat 6","Oss","51.762754","5.531816","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.762754&mlon=5.531816&zoom=16","http://maps.google.com/maps?q=51.762754,5.531816",""
"Welkom Smaragd","smaragd","Smaragd 19","Oss","51.76535","5.507187","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.76535&mlon=5.507187&zoom=16","http://maps.google.com/maps?q=51.76535,5.507187",""
"Wensput","","","Geffen","51.722705","5.404787","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722705&mlon=5.404787&zoom=16","http://maps.google.com/maps?q=51.722705,5.404787",""
"Wiel","","Doctor Poelsstraat 12","Berghem","51.769126","5.571013","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76978&mlon=5.571549&zoom=16","http://maps.google.com/maps?q=51.76978,5.571549","http://lh5.ggpht.com/ZptKK_-Dt7sfqy7on1Bs9vrC-55gbCBpAWmEzE4tilZ3gyw4QLPwKMKTFVObzKRW5B3DXJsYD3wQ4xpJi3nM"
"Wijsheid in de Geneeskunde","wijsheid, geneeskunde","Kloosterstraat 6","Oss","51.763009","5.533088","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763009&mlon=5.533088&zoom=16","http://maps.google.com/maps?q=51.763009,5.533088",""
"Willibrordus Kerk","","Kerkstraat 54","Oss","51.769232","5.522022","","Yes","None","http://www.openstreetmap.org/?mlat=51.769232&mlon=5.522022&zoom=16","http://maps.google.com/maps?q=51.769232,5.522022",""
"Window Mural","","Torenstraat 4","Oss","51.76909","5.521376","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76909&mlon=5.521376&zoom=16","http://maps.google.com/maps?q=51.76909,5.521376",""
"Wiskundige figuren in neonlicht","","","Heesch","51.733704","5.527793","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.733704&mlon=5.527793&zoom=16","http://maps.google.com/maps?q=51.733704,5.527793",""
"Wooden Art Couch I","wooden art, couch 1, couch i","Walplein 26","Oss","51.768261","5.523188","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768261&mlon=5.523188&zoom=16","http://maps.google.com/maps?q=51.768261,5.523188",""
"Wooden Train","","","Heesch","51.731309","5.543426","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.731309&mlon=5.543426&zoom=16","http://maps.google.com/maps?q=51.731309,5.543426",""
"XVII-IX-MCMLXXXVI","","","Nistelrode","51.700112","5.562113","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.700112&mlon=5.562113&zoom=16","http://maps.google.com/maps?q=51.700112,5.562113",""
"Yellow Man","","Anna Bijnsstraat 70","Oss","51.753504","5.505916","","Yes","None","http://www.openstreetmap.org/?mlat=51.753504&mlon=5.505916&zoom=16","http://maps.google.com/maps?q=51.753504,5.505916",""
"Zeilboot","","","Geffen","51.722435","5.437623","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722435&mlon=5.437623&zoom=16","http://maps.google.com/maps?q=51.722435,5.437623",""
"Zeven Eeuwen Nistelrode","","","Nistelrode","51.701001","5.559547","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701001&mlon=5.559547&zoom=16","http://maps.google.com/maps?q=51.701001,5.559547",""
"Zevengesternte","","","Nistelrode","51.701069","5.559401","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.701069&mlon=5.559401&zoom=16","http://maps.google.com/maps?q=51.701069,5.559401",""
"Zijkant havikstraat 1","","Havikstraat 1","Oss","51.76867","5.54724","PLP","No","Pending","http://www.openstreetmap.org/?mlat=51.76867&mlon=5.54724&zoom=16","http://maps.google.com/maps?q=51.76867,5.54724",""
